tenure,MonthlyCharges,TotalCharges,Contract,InternetService,PaymentMethod,Churn,Churn_Probability,Revenue_At_Risk
1,74.7,74.7,Month-to-month,Fiber optic,Electronic check,0,0.7318301318131823,656.0125301573366
66,84.0,5714.25,Two year,DSL,Mailed check,0,0.019002866890416584,19.154889825539918
65,111.05,7107.0,Month-to-month,Fiber optic,Credit card (automatic),0,0.21002068553753767,279.87356554732264
72,100.9,7459.05,Two year,Fiber optic,Bank transfer (automatic),0,0.04276610512717114,51.78120008797882
12,78.95,927.35,Month-to-month,Fiber optic,Electronic check,1,0.665903272663379,630.8767605212853
71,66.85,4748.7,One year,DSL,Credit card (automatic),0,0.029501281254609754,23.66592782244794
5,21.05,113.85,Month-to-month,No,Mailed check,1,0.16800510960533485,42.43809068630759
52,21.0,1107.2,Two year,No,Bank transfer (automatic),0,0.00983895769980939,2.4794173403519664
25,98.5,2514.5,Month-to-month,Fiber optic,Electronic check,1,0.5948808692587364,703.1491874638264
1,20.2,20.2,Month-to-month,No,Mailed check,0,0.18506189649676696,44.85900371081631
1,19.45,19.45,Month-to-month,No,Electronic check,0,0.2701375790240679,63.05011094421744
38,95.0,3605.6,One year,Fiber optic,Bank transfer (automatic),0,0.20373504968607709,232.2579566421279
66,45.55,3027.25,One year,DSL,Bank transfer (automatic),0,0.032358503587781334,17.687158061081277
68,110.0,7611.85,Two year,Fiber optic,Bank transfer (automatic),1,0.04993456471286277,65.91362542097886
5,24.3,100.2,Month-to-month,DSL,Mailed check,0,0.31011543002065006,90.42965939402157
72,104.15,7303.05,One year,Fiber optic,Electronic check,0,0.13711553824400097,171.3669996973524
32,30.15,927.65,One year,DSL,Mailed check,0,0.08196017994425016,29.653193103829707
43,94.35,3921.3,One year,Fiber optic,Mailed check,0,0.18293217126608247,207.11580430745855
72,19.4,1363.25,Two year,No,Credit card (automatic),0,0.005140884587346772,1.1967979319343285
55,96.75,5238.9,Month-to-month,Fiber optic,Electronic check,1,0.3697702303119941,429.3032373922251
52,57.95,3042.25,One year,DSL,Credit card (automatic),0,0.049373563659285476,34.33437616866712
43,91.65,3954.1,Month-to-month,Fiber optic,Electronic check,0,0.4520170869266945,497.12839220197867
37,76.5,2868.15,Month-to-month,Fiber optic,Electronic check,1,0.4801943664443144,440.8184283958807
64,54.6,3423.5,Two year,DSL,Electronic check,0,0.028619239788145418,18.75132590919288
3,89.85,248.4,Month-to-month,Fiber optic,Electronic check,0,0.7333973626458454,790.7490364047505
36,31.05,1126.35,Two year,DSL,Bank transfer (automatic),0,0.035728701907630875,13.312514330783264
10,100.25,1064.65,Month-to-month,Fiber optic,Electronic check,1,0.6999028206151036,841.9830931999695
41,20.65,835.15,Two year,No,Mailed check,0,0.01394472378301662,3.455502553431518
27,85.2,2151.6,Month-to-month,Fiber optic,Credit card (automatic),0,0.4280216716129391,437.6093570570689
56,99.8,5515.45,One year,Fiber optic,Credit card (automatic),0,0.1270445350503887,152.1485351763455
6,20.7,112.75,Month-to-month,No,Mailed check,0,0.16359315003026578,40.63653846751802
3,74.4,229.55,Month-to-month,Fiber optic,Electronic check,1,0.7194910490748226,642.3616086140017
7,50.7,350.35,Month-to-month,DSL,Mailed check,0,0.3228695357780679,196.43382556737652
4,20.85,62.9,Month-to-month,No,Mailed check,0,0.17215613255513604,43.07346436529504
33,88.95,3027.65,Two year,Fiber optic,Electronic check,0,0.1873647692302526,199.99315467637163
27,78.05,2135.5,Month-to-month,Fiber optic,Electronic check,1,0.5574721866321675,522.1284499996881
72,23.55,1723.95,Two year,No,Bank transfer (automatic),0,0.005452197587679805,1.5407910382783128
1,19.75,19.75,Month-to-month,No,Mailed check,0,0.18475465334955624,43.78685284384483
71,56.45,3985.35,One year,DSL,Electronic check,0,0.04800463421386855,32.51833921647456
13,85.95,1215.65,Month-to-month,Fiber optic,Electronic check,0,0.6662136599330146,687.1327688549113
25,58.6,1502.65,Month-to-month,DSL,Credit card (automatic),1,0.21218029327919524,149.2051822339301
67,50.55,3260.1,Two year,DSL,Bank transfer (automatic),0,0.01556793229215851,9.443507728423352
1,35.45,35.45,Month-to-month,DSL,Electronic check,1,0.4660737561219551,198.2677758542797
2,44.35,81.25,Month-to-month,DSL,Electronic check,1,0.46856372870615987,249.36961641741829
43,25.7,1188.2,Two year,No,Credit card (automatic),0,0.01264588888157503,3.899992131077739
23,75.0,1778.5,Month-to-month,Fiber optic,Bank transfer (automatic),0,0.45646877591449114,410.821898323042
64,20.2,1277.75,Two year,No,Mailed check,0,0.006978636915841268,1.6916215883999233
57,19.6,1170.55,Two year,No,Mailed check,0,0.00859101332502718,2.020606334046393
1,70.45,70.45,Month-to-month,Fiber optic,Mailed check,1,0.6207611588770847,524.7914837146875
72,88.05,6425.65,Two year,DSL,Credit card (automatic),0,0.015234277006144886,16.096537084692688
8,71.15,563.65,Month-to-month,DSL,Electronic check,1,0.4535355195558695,387.2286265968014
61,101.05,5971.25,Two year,Fiber optic,Bank transfer (automatic),0,0.05873684336649152,71.22429626620762
64,84.3,5289.05,One year,Fiber optic,Credit card (automatic),0,0.09620818628932155,97.3242012502777
71,23.95,1756.2,Two year,No,Bank transfer (automatic),0,0.005629203539955133,1.6178330973831052
65,99.05,6416.7,Two year,Fiber optic,Credit card (automatic),0,0.04998365669122667,59.41057434319202
3,19.6,61.35,One year,No,Mailed check,0,0.08547434179554637,20.10356519031251
1,45.65,45.65,Month-to-month,DSL,Electronic check,1,0.477588306787812,261.6228744583634
30,64.5,1929.95,One year,DSL,Credit card (automatic),0,0.09439626813599948,73.0627115372636
15,69.5,1071.4,Month-to-month,DSL,Mailed check,0,0.2894675841733512,241.4159652005749
8,68.55,564.35,Month-to-month,DSL,Electronic check,0,0.45061801928194933,370.6783826613315
7,95.0,655.5,Month-to-month,Fiber optic,Mailed check,1,0.6039863570814098,688.5444470728072
70,108.15,7930.55,One year,Fiber optic,Credit card (automatic),0,0.08997559824324686,116.77033140008578
62,86.1,5215.25,Two year,DSL,Electronic check,0,0.03484728520768839,36.00421507658365
6,19.7,113.5,Month-to-month,No,Mailed check,0,0.16297423995012258,38.52711032420898
14,80.9,1152.8,Month-to-month,Fiber optic,Bank transfer (automatic),0,0.5312086704862728,515.6973773080738
22,84.15,1821.95,Month-to-month,Fiber optic,Bank transfer (automatic),0,0.4743222708670606,478.97062912155786
22,20.15,419.9,One year,No,Mailed check,0,0.050035783532261374,12.098652458100801
16,64.25,1024.0,Two year,DSL,Mailed check,0,0.07462726625654709,57.53762228379781
10,25.7,251.6,Two year,No,Bank transfer (automatic),0,0.03499292920945737,10.791819368196652
13,56.0,764.55,Month-to-month,DSL,Electronic check,0,0.3997270729979576,268.6165930546275
20,82.4,1592.35,Month-to-month,Fiber optic,Electronic check,1,0.6136832661772269,606.810013596042
2,69.7,135.2,Month-to-month,Fiber optic,Electronic check,0,0.7213086407045208,603.3025470852613
53,73.9,3958.25,Two year,DSL,Bank transfer (automatic),0,0.026169013022208865,23.206680748094822
11,20.6,233.9,One year,No,Mailed check,0,0.06861378756931957,16.9613282871358
69,19.9,1363.45,Two year,No,Mailed check,0,0.0059948988519210565,1.4315818458387484
4,70.9,273.0,Month-to-month,Fiber optic,Bank transfer (automatic),1,0.5945598043831246,505.8514815691625
72,89.05,6254.45,Two year,DSL,Bank transfer (automatic),0,0.01592175436908804,17.01398671880748
58,45.3,2651.2,Month-to-month,DSL,Electronic check,1,0.13952306449984708,75.84473786211686
16,20.4,321.4,Month-to-month,No,Electronic check,0,0.19087284962356346,46.725673587848334
43,84.25,3539.25,One year,Fiber optic,Bank transfer (automatic),0,0.17316132629462924,175.06610088387015
2,104.4,242.8,Month-to-month,Fiber optic,Electronic check,1,0.7517852387259432,941.8365470758615
14,81.95,1181.75,Two year,DSL,Mailed check,0,0.08495296438956292,83.54274518069617
53,94.85,5000.2,One year,Fiber optic,Bank transfer (automatic),1,0.13961172232938637,158.90606235530754
32,20.55,654.55,One year,No,Bank transfer (automatic),0,0.03675438674659769,9.063631771710991
34,24.7,780.2,Month-to-month,No,Electronic check,0,0.12233066368359675,36.25880871581808
15,74.45,1145.7,Month-to-month,Fiber optic,Mailed check,1,0.5216085930681799,466.00511704711187
7,76.45,503.6,Month-to-month,Fiber optic,Bank transfer (automatic),1,0.5786037899275284,530.8111168795145
15,105.35,1559.25,Month-to-month,Fiber optic,Bank transfer (automatic),0,0.5511807971474186,696.8027637537666
61,20.55,1252.0,One year,No,Credit card (automatic),0,0.014986621114090876,3.6957007667348103
1,29.95,29.95,Month-to-month,DSL,Bank transfer (automatic),1,0.33765780717912397,121.35421590017715
1,45.3,45.3,Month-to-month,DSL,Mailed check,0,0.35819956498790523,194.71728352742525
8,84.5,662.65,Month-to-month,Fiber optic,Bank transfer (automatic),1,0.580103066229298,588.2245091565081
33,74.75,2453.3,One year,DSL,Credit card (automatic),0,0.09065921382293564,81.32131479917327
13,79.25,1111.65,Month-to-month,Fiber optic,Electronic check,1,0.6594305816781565,627.1184831759268
1,24.8,24.8,Month-to-month,DSL,Electronic check,1,0.4540898579402248,135.1371417230109
20,51.8,1023.85,Month-to-month,DSL,Mailed check,0,0.24421098797381982,151.8015501245264
3,30.4,82.15,Month-to-month,DSL,Electronic check,0,0.4453637559009637,162.46869815267155
13,19.65,244.8,One year,No,Electronic check,0,0.10144968608846748,23.92183597966063
40,56.6,2379.1,Month-to-month,DSL,Credit card (automatic),0,0.14484474570102943,98.37855128013919
43,71.9,3173.35,One year,DSL,Credit card (automatic),0,0.06775642902926698,58.460246966451564
6,91.0,531.0,Month-to-month,Fiber optic,Electronic check,1,0.7163021812592317,782.201981935081
69,19.75,1375.4,Two year,No,Bank transfer (automatic),0,0.005866937669042105,1.3904642275629788
72,109.7,8129.3,Two year,Fiber optic,Credit card (automatic),0,0.04274801942110599,56.27349276594393
59,19.3,1192.7,Two year,No,Credit card (automatic),0,0.007601857008191018,1.7605900830970398
20,96.55,1901.65,Month-to-month,Fiber optic,Electronic check,0,0.6287649655321349,728.4870890655316
24,24.1,587.4,Two year,No,Bank transfer (automatic),0,0.023007698780177933,6.653826487227458
59,111.35,6519.75,Month-to-month,Fiber optic,Electronic check,0,0.3570195019111889,477.0494584537306
72,112.25,8041.65,Two year,Fiber optic,Bank transfer (automatic),0,0.044921141137139485,60.508777111726886
1,20.75,20.75,Month-to-month,No,Mailed check,0,0.18543795200799426,46.17405004999057
27,101.9,2681.15,One year,Fiber optic,Credit card (automatic),0,0.26140209789178015,319.64248530206874
14,80.05,1112.3,Month-to-month,Fiber optic,Credit card (automatic),0,0.5201989801458742,499.7031403281267
71,105.55,7405.5,Two year,Fiber optic,Electronic check,0,0.0728304856809324,92.24709316346897
13,78.3,1033.95,Month-to-month,Fiber optic,Credit card (automatic),0,0.52578396390709,494.0266124871017
44,68.85,2958.95,Month-to-month,Fiber optic,Credit card (automatic),0,0.2933120597475205,242.33442376340145
33,79.95,2684.85,One year,Fiber optic,Bank transfer (automatic),0,0.217598970592807,208.76445238673904
72,55.45,4179.2,Two year,DSL,Credit card (automatic),0,0.013170253233948877,8.763486501869584
1,79.9,79.9,Month-to-month,Fiber optic,Electronic check,1,0.73642788130888,706.0870525989542
19,106.6,1934.45,Month-to-month,Fiber optic,Electronic check,1,0.6462885772944845,826.7323480751046
64,102.45,6654.1,One year,Fiber optic,Credit card (automatic),0,0.10359869784288252,127.36423912803977
2,46.0,84.5,Month-to-month,DSL,Credit card (automatic),1,0.3381245139901965,186.64473172258846
1,25.25,25.25,Month-to-month,DSL,Electronic check,0,0.45459524360416725,137.74235881206266
61,19.75,1124.2,Two year,No,Mailed check,0,0.007622557284175372,1.806546076349563
29,20.0,540.05,One year,No,Electronic check,0,0.06509015110243621,15.62163626458469
23,86.8,1975.85,Month-to-month,Fiber optic,Electronic check,0,0.5967179246049218,621.5413902684866
57,58.75,3437.45,Month-to-month,DSL,Bank transfer (automatic),0,0.0961345244125497,67.77483971084754
72,45.25,3139.8,Two year,DSL,Credit card (automatic),0,0.01258302523239819,6.8325827011922176
66,56.6,3789.2,Two year,DSL,Bank transfer (automatic),0,0.01647774635336662,11.191685323206608
65,84.2,5324.5,Two year,DSL,Bank transfer (automatic),0,0.019193870764969027,19.393487020924706
8,80.0,624.6,Month-to-month,Fiber optic,Bank transfer (automatic),0,0.5751295675091918,552.1243848088241
4,70.15,268.35,Month-to-month,Fiber optic,Electronic check,1,0.7093790969843322,597.1553238414109
71,24.75,1836.9,Two year,No,Bank transfer (automatic),0,0.005649525732512071,1.6779091425560848
1,20.2,20.2,One year,No,Electronic check,0,0.14004139631480247,33.94603446670811
4,50.05,179.35,Month-to-month,DSL,Mailed check,1,0.34240056351474296,205.64577844695458
12,19.35,219.35,One year,No,Bank transfer (automatic),0,0.06505931908639492,15.106773891860904
24,50.6,1288.75,One year,DSL,Mailed check,0,0.11097251893884459,67.38251349966644
31,81.15,2545.75,One year,DSL,Mailed check,0,0.10389680505749271,101.1747087649864
1,55.2,55.2,Month-to-month,DSL,Mailed check,1,0.36857400450200634,244.143420582129
30,89.9,2723.15,Month-to-month,Fiber optic,Credit card (automatic),0,0.4110609144433882,443.4525145015272
47,85.3,4107.25,Two year,DSL,Credit card (automatic),0,0.031571054546115924,32.31613143340426
54,108.0,5760.65,Two year,Fiber optic,Credit card (automatic),0,0.07104334092125367,92.07216983394474
50,93.5,4747.5,Month-to-month,Fiber optic,Credit card (automatic),0,0.27897003144772664,313.0043752843493
1,84.6,84.6,Month-to-month,Fiber optic,Mailed check,1,0.6357305563665654,645.3936608233372
72,20.25,1566.9,Two year,No,Credit card (automatic),0,0.005160615769371247,1.2540296319572128
29,25.15,702.0,Month-to-month,No,Electronic check,0,0.139802920598879,42.19252143674168
2,54.4,114.1,Month-to-month,DSL,Mailed check,1,0.3607112466938738,235.4723018417608
10,29.6,299.05,Two year,DSL,Mailed check,0,0.07636677478137158,27.125478402343184
18,73.15,1305.95,Month-to-month,Fiber optic,Electronic check,0,0.6181134269399258,542.5799661678668
11,95.0,1120.3,Month-to-month,Fiber optic,Electronic check,1,0.6884187150885032,784.7973352008937
16,19.75,284.35,Two year,No,Mailed check,0,0.02917570580958992,6.9146422768728115
72,86.6,6350.5,Two year,DSL,Bank transfer (automatic),0,0.015748787837487694,16.36614032071721
72,109.2,7878.3,Two year,Fiber optic,Bank transfer (automatic),0,0.04433206998676446,58.092744510656146
41,74.7,3187.65,One year,DSL,Credit card (automatic),0,0.07253672676401095,65.02192187125941
65,94.4,6126.15,Month-to-month,Fiber optic,Electronic check,0,0.3000625482776619,339.9108546889354
13,54.8,731.3,Month-to-month,DSL,Electronic check,0,0.3984234177033887,262.0032394817484
4,75.35,273.4,Month-to-month,Fiber optic,Electronic check,0,0.7142114512036686,645.7899941783571
41,65.0,2531.8,One year,DSL,Mailed check,0,0.07371538171310216,57.49799773621968
15,74.4,1074.3,Month-to-month,Fiber optic,Electronic check,1,0.6406430967758553,571.9661568014836
1,48.55,48.55,Month-to-month,DSL,Mailed check,1,0.3615912469958207,210.66306049976512
42,99.0,4298.45,One year,Fiber optic,Electronic check,0,0.2782152496876831,330.5197166289675
51,93.5,4619.55,One year,Fiber optic,Electronic check,0,0.22251257243868694,249.65910627620673
2,70.4,147.15,Month-to-month,Fiber optic,Electronic check,1,0.7219456482601547,609.8996836501788
1,40.2,40.2,Month-to-month,DSL,Electronic check,1,0.4714321774777139,227.4188824152492
32,83.7,2633.3,One year,DSL,Credit card (automatic),0,0.09667278992899168,97.09815020467924
10,19.85,193.05,Month-to-month,No,Mailed check,0,0.14718606655177316,35.05972105263237
67,59.55,4103.9,Two year,DSL,Electronic check,0,0.026774630589757025,19.13315101944037
61,115.1,7008.15,Two year,Fiber optic,Credit card (automatic),0,0.060040668215198115,82.92817093883164
50,114.35,5791.1,One year,Fiber optic,Credit card (automatic),0,0.1571559897334042,215.64944911217725
2,44.6,80.55,Month-to-month,DSL,Credit card (automatic),1,0.336706629521,180.2053881196392
29,45.0,1228.65,Month-to-month,DSL,Electronic check,0,0.28060227467894006,151.52522832662765
3,41.15,132.2,Month-to-month,DSL,Electronic check,1,0.4574227073379974,225.8753328835031
13,106.9,1364.3,Month-to-month,Fiber optic,Electronic check,1,0.6869749806616283,881.2515051927369
57,89.85,4925.35,Month-to-month,Fiber optic,Electronic check,0,0.34862455780224944,375.8869982223853
31,49.85,1520.1,Two year,DSL,Bank transfer (automatic),0,0.04484434604001388,26.825887801136304
45,113.3,5032.25,One year,Fiber optic,Mailed check,0,0.18673116205678528,253.87968793240526
61,88.1,5526.75,Two year,DSL,Mailed check,0,0.022448427657895165,23.732477719926766
50,24.9,1195.25,Two year,No,Bank transfer (automatic),0,0.010631767572515155,3.1767721506675284
19,105.0,2007.25,Month-to-month,Fiber optic,Mailed check,0,0.5258823111659656,662.6117120691167
59,19.35,1099.6,Two year,No,Mailed check,1,0.008080619366174333,1.8763198168256803
71,24.25,1732.95,Two year,No,Credit card (automatic),0,0.005415338346458104,1.5758634588193083
16,94.45,1511.2,Month-to-month,Fiber optic,Electronic check,1,0.6544526641286992,741.7566495234677
57,59.75,3450.15,Two year,DSL,Electronic check,0,0.035946912038094254,25.77393593131358
1,24.8,24.8,Month-to-month,DSL,Bank transfer (automatic),1,0.33246009760896034,98.94012504842661
20,107.05,2172.05,Month-to-month,Fiber optic,Electronic check,0,0.6397981350552757,821.8846842920073
1,70.6,70.6,Month-to-month,Fiber optic,Mailed check,1,0.6209211146411912,526.0443683240171
5,85.4,401.1,Month-to-month,Fiber optic,Electronic check,1,0.7173063313394865,735.0955283567058
52,105.05,5624.85,Month-to-month,Fiber optic,Electronic check,1,0.4001938661160443,504.48438762588546
21,64.95,1339.8,Month-to-month,DSL,Bank transfer (automatic),0,0.24573325046926955,191.5244954157487
14,55.0,771.95,Month-to-month,DSL,Electronic check,0,0.39139606763914087,258.32140464183294
5,50.55,244.75,Month-to-month,DSL,Bank transfer (automatic),0,0.3314376089035533,201.0500535608954
6,55.15,322.9,Month-to-month,DSL,Mailed check,0,0.33400158233626465,221.04224719013993
10,51.2,498.25,Month-to-month,DSL,Electronic check,0,0.41644085253339574,255.86125979651837
1,25.4,25.4,Month-to-month,No,Mailed check,0,0.1886409291059312,57.497755191487826
68,54.45,3687.75,Month-to-month,DSL,Mailed check,0,0.07090612716220117,46.33006348778225
18,95.15,1779.95,Month-to-month,Fiber optic,Mailed check,1,0.5223140764782074,596.3782125228172
22,76.0,1783.6,One year,Fiber optic,Credit card (automatic),0,0.26806791525101376,244.4779387089245
20,44.35,927.15,Month-to-month,DSL,Electronic check,0,0.33814221193444755,179.959285191513
1,70.0,70.0,Month-to-month,Fiber optic,Electronic check,1,0.727631018812331,611.210055802358
8,74.5,606.55,Month-to-month,Fiber optic,Electronic check,1,0.6880064350906704,615.0777529710593
10,44.85,435.4,Month-to-month,DSL,Credit card (automatic),1,0.28508135186196315,153.43078357210857
